Designator,Mid X,Mid Y,Rotation,Layer
J2,108.2,-78.07,0.0,bottom
Q1,129.98,-77.515,0.0,top
Q2,121.945,-86.215,0.0,top
Q3,129.83,-85.89,0.0,top
Q4,122.465,-95.205,0.0,top
Q5,122.445,-100.535,180.0,top
Q6,127.91,-97.73,270.0,top
R1,127.63,-76.48,0.0,bottom
R10,124.775,-97.825,0.0,bottom
R11,125.45,-94.65,90.0,bottom
R2,127.705,-79.805,0.0,bottom
R3,119.595,-85.19,0.0,bottom
R4,119.895,-88.465,0.0,bottom
R5,127.53,-84.965,0.0,bottom
R6,127.63,-88.115,0.0,bottom
R7,120.15,-94.2,0.0,bottom
R8,120.15,-101.45,0.0,bottom
R9,120.15,-97.825,0.0,bottom
